Date [mm/dd] Start Time [hh:mm:ss],Iter_Duration [ms],C_CH4 [ppm],C_H2S [ppm],RH [%],T [C]
2025-06-08 22:25:00,947001,1670.0,0,65,5
2025-06-08 22:41:00,947000,3510.0,0,65,5
2025-06-08 22:57:00,947000,2.1,0,100,5
2025-06-08 23:13:00,947000,5.0,0,100,5
2025-06-08 23:29:00,947000,8.0,0,100,5
2025-06-08 23:45:00,947000,29.0,0,100,5
2025-06-09 00:01:00,947001,52.0,0,100,5
2025-06-09 00:17:00,947000,71.0,0,100,5
2025-06-09 00:33:00,947000,210.0,0,100,5
2025-06-09 00:49:00,947001,345.0,0,100,5
2025-06-09 01:05:00,947000,480.0,0,100,5
2025-06-09 01:21:00,947000,615.0,0,100,5
2025-06-09 01:37:00,947000,750.0,0,100,5
2025-06-09 01:53:00,947000,1670.0,0,100,5
2025-06-09 02:09:00,947000,3510.0,0,100,5
2025-06-09 02:25:00,947000,2.1,0,0,5
2025-06-09 02:41:00,946999,5.0,0,0,5
2025-06-09 02:57:00,947000,8.0,0,0,5
2025-06-09 03:13:00,947000,29.0,0,0,5
2025-06-09 03:29:00,947000,52.0,0,0,5
2025-06-09 03:45:00,947000,71.0,0,0,5
2025-06-09 04:01:00,947000,210.0,0,0,5
2025-06-09 04:17:00,947000,345.0,0,0,5
2025-06-09 04:33:00,947000,480.0,0,0,5
2025-06-09 04:49:00,947000,615.0,0,0,5
2025-06-09 05:05:00,947000,750.0,0,0,5
2025-06-09 05:21:00,947001,1670.0,0,0,5
2025-06-09 05:37:00,947000,3510.0,0,0,5
2025-06-09 05:53:00,947000,2.1,0,35,5
2025-06-09 06:09:00,947001,5.0,0,35,5
2025-06-09 06:25:00,947000,8.0,0,35,5
2025-06-09 06:41:00,947001,29.0,0,35,5
2025-06-09 06:57:00,947000,52.0,0,35,5
2025-06-09 07:13:00,947000,71.0,0,35,5
2025-06-09 07:29:00,947000,210.0,0,35,5
2025-06-09 07:45:00,947000,345.0,0,35,5
2025-06-09 08:01:00,947000,480.0,0,35,5
2025-06-09 08:17:00,947000,615.0,0,35,5
2025-06-09 08:33:00,947000,750.0,0,35,5
2025-06-09 08:49:00,947001,1670.0,0,35,5
2025-06-09 09:05:00,947000,3510.0,0,35,5
2025-06-09 09:21:00,947000,2.1,0,65,5
2025-06-09 09:37:00,947000,5.0,0,65,5
2025-06-09 09:53:00,947000,8.0,0,65,5
2025-06-09 10:09:00,947000,29.0,0,65,5
2025-06-09 10:25:00,947000,52.0,0,65,5
2025-06-09 10:41:00,946999,71.0,0,65,5
2025-06-09 10:57:00,947000,210.0,0,65,5
2025-06-09 11:13:00,947000,345.0,0,65,5
2025-06-09 11:29:00,947000,480.0,0,65,5
2025-06-09 11:45:00,947000,615.0,0,65,5
2025-06-09 12:01:00,947001,750.0,0,65,5
2025-06-09 12:17:00,947000,1670.0,0,65,5
2025-06-09 12:33:00,947000,3510.0,0,65,5
2025-06-09 12:49:00,946999,2.1,0,100,5
2025-06-09 13:05:00,947000,5.0,0,100,5
